Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
1,Below 25,Male,70-79,Electrical engineering,,"Basics of PLC, Basics of induction motor",2018,more than 3,Unmarried,,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,None,Soft skills;Practical Applications;Encouragement for research and Novelty applications,Effective worklife social life balance training,,No,Expanding the horizons is my nature. As I already in my job since one and half year I want to try and get new challanges which is not easy for me. ,,Working,Job,Assistant manager,Metal manufacturing,Private,1,Field Work,0,Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Agree,Agree,Disagree,Neutral,9,5,7,10,8,Producing tangible results;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Detailed activities;Developing knowledge;Designing systems,Decorating;Reading;Being brave and daring,Working in groups;Supporting others;Building relationships;Communication;Encouraging,Speaking in public;Competing;Asserting ideas;Taking risks;Being an entrepreneur,Keeping records;Attention to detail;Using computer software;Conducting analyses;Performing calculations
2,Below 25,Male,60-69,Chemical engineering ,,No,2018,2,Unmarried,,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,3,Soft skills;Interactive Session, No,No,No,"No,  because i found i can do more outside my technical field of chemical engineering ",,Working,Job,Assistant engineer ,Chemical ,Government,1,Field Work,1,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,5,4,3,1,1,"Making things work;Action-oriented activities;Solving problems;Repairing, refinishing",Solving abstract problems;Analyzing information;Collecting data;Detailed activities,"Writing poetry, stories;Being Emotional;Being brave and daring","Supporting others;Building relationships;Teaching, instructing",Speaking in public;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Writing reports;Performing calculations"
3,Below 25,Male,80-89,B. E. ELECTRICAL ENGINEERING ,,No,2018,2,Unmarried,,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,None,Technical/programming Skills;DESIGNING SKILLS,"Designing & Software learnings, Lean management skills",,Yes,,I've got the basic knowledge of the field I'm currently working through study curriculum and the advancement of which will give many opportunities to explore myself towards my career goals with self development day by day. ,Working,Job,Deputy Engineer ,Testing and Research ,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,10,7,10,10,10,Producing tangible results;Working with my hands;Solving problems,Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge,Decorating;Reading;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Competing;Taking risks;Negotiating,"Keeping records;Making charts, graphs;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
4,Below 25,Male,70-79,Electrical Engineering,,No,2018,3,Unmarried,,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,2,Soft skills;Practical Applications,No,,Yes,,I am in the field which i want tha's i want to continue my present career,Working,Job,Junior Engineer,Railways,Government,1,Field Work,0,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,No,,,,,,,,,,80-89,80-89,80-89,Agree,Agree,Agree,Neutral,Agree,10,7,10,7,7,Fixing things;Solving problems,Collecting data;Designing systems,Being expressive;Being brave and daring,"Supporting others;Listening to people;Teaching, instructing",Speaking in public,"Keeping records;Making charts, graphs;Creating efficiency;Following the rules"
5,26-27,Female,60-69,Electrical,,Power system,2014,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,Technical/programming Skills,Communication,No,Yes,,Do best,Working,Job,Assistant professor,Engineering,Government,3,Office Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,70-79,70-79,70-79,Agree,Agree,Agree,Agree,Agree,8,8,8,8,8,Solving problems,Analyzing information,Designing,Listening to people,Taking risks,Using computer software
6,26-27,Male,60-69,Electrical Engineering,,"Electro mechanical Robotics, Canada",2014,3,Unmarried,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,None,Technical/programming Skills;Practical Applications,No,No,Yes,,Yes . I am satisfied with my achievements,Working,self-employed,Testing Engineer,Electronics manufacturing,Private,3,Office Work,2,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,,,,,,,,,,70-79,80-89,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,10,8,9,10,9,Producing tangible results;Fixing things;Making things work;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Exploring theories;Developing knowledge;Designing systems,Playing instruments;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Listening to people;Collaborating;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Competing;Asserting ideas;Taking risks",Keeping records;Attention to detail;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
7,26-27,Male,50-59,Engineering,,No,2014,more than 3,Unmarried,,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,None,Technical/programming Skills;Practical Applications,No,No,Yes,,I love my present field,Working,Job,Deputy Mamlatdar,Public Administration,Government,3,Field Work,0,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Yes,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,8,7,10,10,8,Producing tangible results;Making things work;Action-oriented activities;Solving problems,Analyzing information;Learning new facts;Collecting data;Developing knowledge,Being Emotional;Being brave and daring,Working in groups;Supporting others;Communication;Listening to people;Encouraging,"Debating ideas;Persuading, influential;Taking risks;Negotiating",Attention to detail;Creating efficiency;Performing calculations;Following the rules
8,26-27,Female,60-69,Electrical,,No,2014,1,Unmarried,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,None,Interactive Session,Soft skills,,Yes,,It's related to my educational background,Working,Job,Assistant Engineer,Project execution,Government,5,Office Work,0,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Agree,Agree,Disagree,Agree,9,1,10,5,10,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Developing knowledge;Designing systems,"Decorating;Designing;Writing poetry, stories;Reading",Supporting others;Collaborating,"Debating ideas;Persuading, influential;Chairing committees;Asserting ideas;Taking risks",Keeping records;Writing reports;Attention to detail;Creating efficiency
9,23-25,Female,50-59,Chemistry,,No,2018,3,Married,,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,1,Practical Applications,No,No,Yes,,My education is in chemistry and I'm very interested in this subject,Working,Job,Chemist,Pharmaceutical,Private,2,Field Work,2,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,No,,,,,,,,,,70-79,80-89,80-89,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,6,10,7,9,8,Using equipment,Developing knowledge,Reading;Being brave and daring,Working in groups;Supporting others;Communication;Listening to people;Collaborating;Encouraging,Debating ideas,Keeping records;Following the rules
10,23-25,Male,60-69,Chemical engineering ,,Diploma in industrial safety,2018,2,Unmarried,,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,"Soft skills;Technical/programming Skills;Interactive Session;Practical Applications;Current scenario of market, opportunities that are available rather than mainstreams, ",Environmental safety,,Yes,,I am grasping all the opportunities towards my way of career growth and learning for development and betterment of myself.,Working,Job,Assistant Manager,Oil & Gas refinery,Private,2,Office Work,0,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,10,10,10,10,"Producing tangible results;Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Playing instruments;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
